               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10899,            0.038452,                   0,             0.12157,            0.073034,              0.0699,            0.024049,            0.091923,            0.025769,                   0,              0.0811,              0.0021,              0.0021
                   1,            0.079802,            0.039971,                   0,             0.28892,             0.45506,             0.27627,             0.11498,            0.067571,            0.023971,                   0,            0.061257,           0.0042574,           0.0042574
                   2,            0.064704,            0.035236,                   0,             0.34119,             0.32584,             0.24369,            0.097841,            0.067061,            0.019262,                   0,            0.041371,           0.0063713,           0.0063713
                   3,            0.061192,            0.034408,                   0,             0.44489,             0.49528,             0.44773,             0.17455,             0.06021,            0.016018,                   0,            0.021442,           0.0084416,           0.0084416
                   4,            0.056672,            0.033554,                   0,             0.51826,             0.70225,             0.61712,             0.31778,            0.057496,            0.014892,                   0,            0.009604,            0.009604,            0.009604
                   5,            0.051826,            0.032378,                   0,             0.66006,             0.64359,             0.67661,             0.34737,            0.049402,            0.013334,                   0,            0.009604,            0.009604,            0.009604
                   6,             0.04917,            0.029161,                   0,              0.4361,             0.73861,             0.60561,             0.36049,            0.045992,            0.012145,                   0,            0.009505,            0.009505,            0.009505
                   7,            0.044068,             0.02953,                   0,             0.59925,             0.72247,             0.69416,             0.40019,            0.041844,            0.011987,                   0,            0.009406,            0.009406,            0.009406
                   8,            0.041546,            0.028348,                   0,             0.73606,             0.75843,             0.75323,             0.44794,            0.038914,            0.012469,                   0,            0.009307,            0.009307,            0.009307
                   9,            0.039137,            0.026884,                   0,             0.83311,             0.77528,             0.83012,             0.50336,            0.036041,            0.011898,                   0,            0.009208,            0.009208,            0.009208
                  10,            0.038278,            0.028498,                   0,             0.92812,             0.78652,             0.88457,             0.57436,            0.035413,            0.010803,                   0,            0.009109,            0.009109,            0.009109
                  11,            0.035717,            0.027335,                   0,             0.87008,             0.82772,              0.8683,             0.50133,            0.034728,             0.01088,                   0,             0.00901,             0.00901,             0.00901
                  12,            0.035419,            0.026565,                   0,             0.93166,             0.84246,             0.91896,             0.58213,            0.034682,             0.01094,                   0,            0.008911,            0.008911,            0.008911
                  13,             0.03298,            0.026397,                   0,             0.92431,             0.82326,             0.89303,             0.63308,            0.026555,            0.010814,                   0,            0.008812,            0.008812,            0.008812
                  14,            0.033428,            0.025786,                   0,             0.89074,             0.79213,             0.87699,              0.6127,            0.030149,            0.011094,                   0,            0.008713,            0.008713,            0.008713
                  15,             0.03025,             0.02534,                   0,             0.90661,             0.82022,             0.89558,             0.65513,            0.026519,            0.010492,                   0,            0.008614,            0.008614,            0.008614
                  16,            0.031417,             0.02446,                   0,             0.93996,             0.85955,             0.93636,             0.63995,            0.027677,           0.0099724,                   0,            0.008515,            0.008515,            0.008515
                  17,             0.02982,            0.023717,                   0,             0.92888,             0.84831,             0.90863,             0.65936,            0.028542,            0.010137,                   0,            0.008416,            0.008416,            0.008416
                  18,            0.029854,             0.02366,                   0,             0.85879,             0.70225,             0.80295,             0.55179,             0.03063,             0.01357,                   0,            0.008317,            0.008317,            0.008317
                  19,            0.028892,            0.023229,                   0,             0.91414,             0.79775,             0.87794,             0.62421,            0.026212,            0.011494,                   0,            0.008218,            0.008218,            0.008218
                  20,            0.028788,            0.022655,                   0,             0.90087,             0.87079,             0.92078,             0.64935,            0.025768,            0.009954,                   0,            0.008119,            0.008119,            0.008119
                  21,            0.027403,            0.023802,                   0,             0.94419,              0.8764,             0.95345,              0.7531,            0.023686,            0.009444,                   0,             0.00802,             0.00802,             0.00802
                  22,            0.027897,            0.023625,                   0,             0.93132,             0.88202,              0.9467,             0.71434,            0.023671,           0.0090543,                   0,            0.007921,            0.007921,            0.007921
                  23,            0.027395,            0.022276,                   0,             0.92355,             0.88232,              0.9378,             0.73281,            0.022679,           0.0092126,                   0,            0.007822,            0.007822,            0.007822
                  24,            0.026235,            0.022777,                   0,             0.94759,             0.91424,             0.94894,             0.71727,            0.023707,           0.0091236,                   0,            0.007723,            0.007723,            0.007723
                  25,            0.027864,            0.024272,                   0,             0.88003,               0.783,             0.87151,             0.62627,            0.027921,            0.011532,                   0,            0.007624,            0.007624,            0.007624
                  26,            0.027118,            0.022264,                   0,             0.81553,             0.86517,             0.92008,             0.68823,            0.021694,           0.0099168,                   0,            0.007525,            0.007525,            0.007525
                  27,            0.025119,            0.022819,                   0,             0.90549,             0.86121,             0.92759,             0.72899,            0.023542,           0.0094634,                   0,            0.007426,            0.007426,            0.007426
                  28,            0.025277,            0.022652,                   0,             0.95624,             0.85393,             0.94159,              0.7252,            0.022213,           0.0090906,                   0,            0.007327,            0.007327,            0.007327
                  29,             0.02515,            0.022005,                   0,              0.9383,             0.85439,             0.93616,             0.72121,            0.023249,           0.0092332,                   0,            0.007228,            0.007228,            0.007228
                  30,             0.02471,            0.022408,                   0,             0.88982,              0.8764,             0.92821,             0.72977,            0.021661,            0.009245,                   0,            0.007129,            0.007129,            0.007129
                  31,            0.023733,            0.021616,                   0,             0.91072,              0.8596,             0.93879,             0.74211,            0.021883,           0.0092079,                   0,             0.00703,             0.00703,             0.00703
                  32,            0.024919,            0.020591,                   0,             0.91437,             0.89988,             0.95622,             0.76495,            0.019269,           0.0085556,                   0,            0.006931,            0.006931,            0.006931
                  33,             0.02343,            0.020952,                   0,             0.93026,             0.89929,             0.95645,             0.75355,            0.022285,           0.0086282,                   0,            0.006832,            0.006832,            0.006832
                  34,             0.02396,            0.021356,                   0,             0.92543,             0.91011,             0.95249,             0.74579,            0.020347,           0.0086508,                   0,            0.006733,            0.006733,            0.006733
                  35,            0.023609,            0.021795,                   0,             0.95708,             0.87698,             0.95808,             0.71512,            0.021422,           0.0088103,                   0,            0.006634,            0.006634,            0.006634
                  36,            0.024183,            0.021328,                   0,             0.91707,             0.86517,             0.93349,             0.70518,            0.021293,           0.0096713,                   0,            0.006535,            0.006535,            0.006535
                  37,            0.022132,            0.021408,                   0,             0.92328,             0.89888,             0.95191,             0.77753,             0.01945,            0.008708,                   0,            0.006436,            0.006436,            0.006436
                  38,             0.02263,            0.022558,                   0,             0.89599,             0.91953,             0.94601,             0.76009,            0.019496,           0.0086162,                   0,            0.006337,            0.006337,            0.006337
                  39,            0.023145,            0.021059,                   0,             0.92774,             0.86553,             0.93549,             0.76557,            0.020358,           0.0095283,                   0,            0.006238,            0.006238,            0.006238
                  40,            0.023139,            0.021154,                   0,             0.92247,             0.89326,              0.9545,             0.76965,            0.019219,           0.0085602,                   0,            0.006139,            0.006139,            0.006139
                  41,            0.021383,            0.020354,                   0,             0.91465,             0.90304,             0.95716,             0.79636,             0.01683,           0.0082726,                   0,             0.00604,             0.00604,             0.00604
                  42,            0.021515,            0.020379,                   0,             0.91352,             0.89018,              0.9512,              0.7764,            0.017607,           0.0086966,                   0,            0.005941,            0.005941,            0.005941
                  43,            0.020831,            0.020075,                   0,             0.91416,             0.89749,             0.95393,             0.77773,            0.018114,            0.008439,                   0,            0.005842,            0.005842,            0.005842
                  44,             0.02236,            0.020211,                   0,             0.96822,             0.85578,             0.94543,              0.7883,            0.017404,           0.0087677,                   0,            0.005743,            0.005743,            0.005743
                  45,            0.020234,            0.019381,                   0,             0.92937,              0.8764,             0.94479,             0.76886,            0.018437,           0.0094165,                   0,            0.005644,            0.005644,            0.005644
                  46,            0.021834,            0.020018,                   0,             0.94249,             0.88202,             0.95191,             0.77572,            0.018124,           0.0090024,                   0,            0.005545,            0.005545,            0.005545
                  47,            0.020499,            0.019159,                   0,             0.95156,             0.91011,             0.95506,             0.78402,            0.018352,           0.0086565,                   0,            0.005446,            0.005446,            0.005446
                  48,            0.021157,            0.018804,                   0,             0.92498,             0.90052,             0.95107,             0.77686,            0.016558,           0.0088379,                   0,            0.005347,            0.005347,            0.005347
                  49,            0.020315,            0.020104,                   0,             0.94145,             0.90335,             0.95362,             0.80457,            0.015956,           0.0087543,                   0,            0.005248,            0.005248,            0.005248
                  50,            0.020893,            0.019182,                   0,             0.95705,             0.89888,             0.95842,             0.78226,            0.016868,           0.0083271,                   0,            0.005149,            0.005149,            0.005149
                  51,            0.020283,            0.019511,                   0,             0.92492,             0.89969,             0.94644,             0.80274,            0.017078,           0.0084075,                   0,             0.00505,             0.00505,             0.00505
                  52,            0.020875,            0.019384,                   0,             0.91585,             0.90449,              0.9443,             0.78472,            0.017537,           0.0083963,                   0,            0.004951,            0.004951,            0.004951
